Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Ottawa Senators,20052006,82,52,21,--,9,113,0.689,48,50,2,312,205,3.8,2.5,20.8,84.7,18.6,89.9,34.3,28.6,50.3
Ottawa Senators,20022003,82,52,21,8,1,113,0.689,45,52,0,263,182,3.21,2.22,21.2,84.9,19.2,86.1,29.8,24.8,47.1
Carolina Hurricanes,20222023,82,52,21,--,9,113,0.689,39,48,4,262,210,3.2,2.56,19.8,84.4,17.4,88.7,34.8,26,52.9
Dallas Stars,20232024,82,52,21,--,9,113,0.689,40,48,4,294,232,3.59,2.83,24.2,82,22.5,87,31.6,28.7,54
Philadelphia Flyers,19741975,80,51,18,11,--,113,0.706,51,51,0,293,181,3.66,2.26,--,--,--,--,33.7,25.3,--
Boston Bruins,19771978,80,51,18,11,--,113,0.706,51,51,0,333,218,4.16,2.73,20.3,82.1,19.4,84.5,30.3,22.5,--
San Jose Sharks,20092010,82,51,20,--,11,113,0.689,43,44,7,257,209,3.13,2.55,21,85,18.1,87.5,31.7,31.4,55.6
Detroit Red Wings,20062007,82,50,19,--,13,113,0.689,45,48,2,252,191,3.07,2.33,17.1,84.6,14.3,87.5,33.8,24.6,53.6
Buffalo Sabres,19741975,80,49,16,15,--,113,0.706,49,49,0,354,240,4.43,3,--,--,--,--,37,26.1,--
Boston Bruins,19751976,80,48,15,17,--,113,0.706,48,48,0,313,237,3.91,2.96,--,--,--,--,33.1,26.4,--
Montréal Canadiens,19741975,80,47,14,19,--,113,0.706,47,47,0,374,225,4.68,2.81,--,--,--,--,31.9,28.4,--
Dallas Stars,20052006,82,53,23,--,6,112,0.683,38,41,12,253,217,3.09,2.65,17.7,83.7,16.3,85.7,28.5,25.6,50.3
New Jersey Devils,20222023,82,52,22,--,8,112,0.683,39,50,2,289,222,3.52,2.71,21.9,82.6,18.3,86.5,34.4,28.2,51.3
New York Rangers,19931994,84,52,24,8,--,112,0.667,49,52,0,299,231,3.56,2.75,23,84.6,21.8,89.2,34.2,27.7,--
Carolina Hurricanes,20052006,82,52,22,--,8,112,0.683,40,44,8,286,258,3.49,3.15,17.9,81.8,15.4,85.6,31.1,30.5,51.7
Chicago Blackhawks,20092010,82,52,22,--,8,112,0.683,37,43,9,262,203,3.2,2.48,17.7,85.3,16.3,90.2,34.1,25.1,52.4
Colorado Avalanche,20132014,82,52,22,--,8,112,0.683,37,47,5,245,216,2.99,2.63,19.8,80.7,19.4,81.9,29.5,32.7,49.5
Detroit Red Wings,20082009,82,51,21,--,10,112,0.683,42,45,6,289,240,3.52,2.93,25.5,78.3,24.4,80.1,36.2,27.7,55.1
Philadelphia Flyers,19731974,78,50,16,12,--,112,0.718,50,50,0,273,164,3.5,2.1,--,--,--,--,33.9,28.4,--
Boston Bruins,20172018,82,50,20,--,12,112,0.683,41,47,3,267,211,3.26,2.57,23.6,83.7,19.7,87.4,33,29.3,50.8
Philadelphia Flyers,19761977,80,48,16,16,--,112,0.7,48,48,0,323,213,4.04,2.66,--,--,--,--,31.6,26.8,--
Carolina Hurricanes,20232024,82,52,23,--,7,111,0.677,43,50,2,277,211,3.38,2.57,26.9,86.4,23.7,90.7,33.3,25.6,52.6
St. Louis Blues,20132014,82,52,23,--,7,111,0.677,40,43,9,239,188,2.91,2.29,19.8,85.7,17.7,87.7,29.3,26.4,51.9
Vancouver Canucks,20112012,82,51,22,--,9,111,0.677,36,43,8,241,191,2.94,2.33,19.8,86,18.4,88.5,31.5,30.8,52.2
San Jose Sharks,20132014,82,51,22,--,9,111,0.677,37,41,10,239,193,2.91,2.35,17.2,84.9,15.1,88.6,34.8,27.8,52.8
Vegas Golden Knights,20222023,82,51,22,--,9,111,0.677,38,46,5,267,225,3.26,2.74,20.3,77.4,18.4,82.6,31.5,30.9,52.3
Pittsburgh Penguins,20162017,82,50,21,--,11,111,0.677,40,46,4,278,229,3.39,2.79,23.1,79.8,20.4,81.7,33.5,32.6,47.6
Toronto Maple Leafs,20222023,82,50,21,--,11,111,0.677,42,49,1,278,220,3.39,2.68,26,81.9,22.8,85.1,32,29.5,53.1
Calgary Flames,20212022,82,50,21,--,11,111,0.677,44,48,2,291,206,3.55,2.51,22.9,83.2,21.6,86,35.5,29,51.1
Detroit Red Wings,20002001,82,49,20,9,4,111,0.677,39,49,0,253,202,3.09,2.46,22.1,85.7,20.3,88.3,32.3,27.1,54.4
New Jersey Devils,20002001,82,48,19,12,3,111,0.677,43,48,0,295,195,3.6,2.38,22.9,84.7,21,87.5,31.6,24.7,49.4
New York Islanders,19771978,80,48,17,15,--,111,0.694,48,48,0,334,210,4.18,2.63,31.4,83.5,28.8,86.1,31.1,28.2,--
Edmonton Oilers,19811982,80,48,17,15,--,111,0.694,48,48,0,417,295,5.21,3.69,25.6,81.7,23.2,85,33.6,31.7,--
Dallas Stars,20022003,82,46,17,15,4,111,0.677,41,46,0,245,169,2.99,2.06,19,85.6,17.1,88.2,30.1,25.3,50.2
Philadelphia Flyers,19851986,80,53,23,4,--,110,0.688,49,53,0,335,241,4.19,3.01,23.6,82.8,21.3,86.9,34.1,28.9,--
New York Rangers,20212022,82,52,24,--,6,110,0.671,44,48,4,250,204,3.05,2.49,25.2,82.3,24.3,85.8,29.2,30.8,48.1
Buffalo Sabres,20052006,82,52,24,--,6,110,0.671,41,47,5,276,234,3.37,2.85,21.2,86.6,17.6,88.8,30.6,30.5,49.7
Florida Panthers,20232024,82,52,24,--,6,110,0.671,42,49,3,265,198,3.23,2.41,23.5,82.5,20.2,85.2,33.7,27.8,51.3
Winnipeg Jets,20232024,82,52,24,--,6,110,0.671,46,52,0,259,198,3.16,2.41,18.8,77.1,16.7,78.5,30.3,29.6,47.6
Tampa Bay Lightning,20212022,82,51,23,--,8,110,0.671,39,49,2,285,228,3.48,2.78,23.9,80.6,22,83.3,30.9,29.8,50.1
Nashville Predators,20062007,82,51,23,--,8,110,0.671,42,45,6,266,207,3.24,2.52,17.4,85.8,16.9,87.9,27.6,31.2,50.3
Boston Bruins,19821983,80,50,20,10,--,110,0.688,50,50,0,327,228,4.09,2.85,22.9,80.4,20.9,83.3,30.9,24.8,--
Montréal Canadiens,20142015,82,50,22,--,10,110,0.671,37,43,7,214,184,2.61,2.24,16.5,83.7,14.8,86.4,28.5,30.1,52.1
New York Islanders,19801981,80,48,18,14,--,110,0.688,48,48,0,355,260,4.44,3.25,29.3,79.4,27.4,84.5,30.2,30.2,--
Detroit Red Wings,20022003,82,48,20,10,4,110,0.671,41,48,0,269,203,3.28,2.48,23.8,85.4,22.6,88.3,29.8,28.8,52.2
Anaheim Ducks,20062007,82,48,20,--,14,110,0.671,39,44,4,254,198,3.1,2.41,22.4,85.1,21.4,86.1,31.5,27.4,51.9
Buffalo Sabres,19791980,80,47,17,16,--,110,0.688,47,47,0,318,201,3.98,2.51,24.4,82.9,22.9,83.7,29.3,24,--
New York Rangers,20112012,82,51,24,--,7,109,0.665,39,47,4,222,182,2.71,2.22,15.7,86.2,14.3,89.2,28.5,27.8,50
Pittsburgh Penguins,20132014,82,51,24,--,7,109,0.665,40,44,7,242,204,2.95,2.49,23.4,85,21.2,86.6,29.9,28.8,51
Boston Bruins,19921993,84,51,26,7,--,109,0.649,46,51,0,332,268,3.95,3.19,20.9,83.1,19.1,87.7,34.4,26.1,--
St. Louis Blues,20142015,82,51,24,--,7,109,0.665,37,42,9,239,197,2.91,2.4,22.3,83.7,20.3,84.4,30.9,27.2,53.4
Colorado Avalanche,20222023,82,51,24,--,7,109,0.665,36,45,6,274,223,3.34,2.72,24.5,79,22.6,81.5,33.3,31,46.7
Anaheim Ducks,20142015,82,51,24,--,7,109,0.665,35,43,8,228,221,2.78,2.7,15.7,81,13.2,84.3,30,28.9,51.7
Vegas Golden Knights,20172018,82,51,24,--,7,109,0.665,39,47,4,268,225,3.27,2.74,21,81.4,19,84.8,32.8,30.7,48.9
Chicago Blackhawks,20162017,82,50,23,--,9,109,0.665,37,46,4,240,212,2.93,2.59,18,77.7,15,78.2,30.6,31.4,47.5
Edmonton Oilers,20222023,82,50,23,--,9,109,0.665,45,50,0,325,256,3.96,3.12,32.4,77,29.8,83.5,33.6,31.4,50.8
Vancouver Canucks,20232024,82,50,23,--,9,109,0.665,44,50,0,279,221,3.4,2.7,22.7,79.1,19.9,81.9,28.4,28.6,52.1
Dallas Stars,20152016,82,50,23,--,9,109,0.665,42,48,2,265,228,3.23,2.78,22.1,82.3,16.4,86.3,32,28.9,50.2
New York Rangers,19701971,78,49,18,11,--,109,0.699,49,49,0,259,177,3.32,2.27,--,--,--,--,35.8,28,--
St. Louis Blues,20112012,82,49,22,--,11,109,0.665,42,45,4,206,155,2.51,1.89,16.7,85.8,15.6,88.3,30.6,26.7,50.4
St. Louis Blues,20212022,82,49,22,--,11,109,0.665,43,47,2,309,239,3.77,2.91,27,84.1,24.9,88.2,30.4,31.6,50.2
Edmonton Oilers,19841985,80,49,20,11,--,109,0.681,49,49,0,401,298,5.01,3.73,25.7,78.4,24,85.5,32.4,32.9,--
Dallas Stars,19971998,82,49,22,11,--,109,0.665,44,49,0,242,167,2.95,2.04,20,88,17.7,91.2,26.8,22.8,54.9
New York Rangers,19711972,78,48,17,13,--,109,0.699,48,48,0,317,192,4.06,2.46,--,--,--,--,36,25.9,--
Ottawa Senators,20002001,82,48,21,9,4,109,0.665,45,48,0,274,205,3.34,2.5,18.6,86.4,17.3,89.2,30.2,27.3,48.6
Detroit Red Wings,20032004,82,48,21,11,2,109,0.665,41,48,0,255,189,3.11,2.3,20.1,86.8,18.5,91.5,30.3,26.2,52.5
Boston Bruins,20232024,82,47,20,--,15,109,0.665,36,43,4,263,221,3.21,2.7,22.2,82.5,19.8,85.1,29.3,30.5,49.5
Montréal Canadiens,19811982,80,46,17,17,--,109,0.681,46,46,0,360,223,4.5,2.79,24.2,80.1,22.6,83.2,33.8,27.5,--
Pittsburgh Penguins,20112012,82,51,25,--,6,108,0.659,40,42,9,273,218,3.33,2.66,19.7,87.8,16.3,91.9,33.9,27.4,50.4
Tampa Bay Lightning,20142015,82,50,24,--,8,108,0.659,43,47,3,259,206,3.16,2.51,18.8,83.7,16.7,86.4,29.6,27.9,49.7
Washington Capitals,20082009,82,50,24,--,8,108,0.659,40,46,4,268,240,3.27,2.93,25.2,80.6,22,82.4,33.5,29.5,51.7
Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,39,48,2,247,193,3.01,2.35,19.9,82.5,19,87,31,30.4,48.6
San Jose Sharks,20072008,82,49,23,--,10,108,0.659,40,43,6,216,187,2.63,2.28,18.7,85.8,16.3,88.1,29.6,24.2,51.2
Detroit Red Wings,19992000,82,48,22,10,2,108,0.659,44,48,0,278,210,3.39,2.56,20.4,85.9,18.6,90.7,32,26.5,53.4
Dallas Stars,20222023,82,47,21,--,14,108,0.659,39,43,4,281,215,3.43,2.62,25,83.5,23.1,87.6,31.9,29.9,54.8
New Jersey Devils,20022003,82,46,20,10,6,108,0.659,38,46,0,216,166,2.63,2.02,11.9,87.9,10.6,90.5,31.7,23.6,50.7
Montréal Canadiens,19711972,78,46,16,16,--,108,0.692,46,46,0,307,205,3.94,2.63,--,--,--,--,33.6,32.1,--
Boston Bruins,20212022,82,51,26,--,5,107,0.652,40,49,2,253,218,3.09,2.66,21.2,81.3,18.6,83.2,36.1,28.7,54.2
Boston Bruins,19721973,78,51,22,5,--,107,0.686,51,51,0,330,235,4.23,3.01,--,--,--,--,34.3,29,--
San Jose Sharks,20062007,82,51,26,--,5,107,0.652,48,49,2,256,197,3.12,2.4,22.4,83.3,21.5,85.5,28.6,26.2,51.1
Washington Capitals,19851986,80,50,23,7,--,107,0.669,46,50,0,315,272,3.94,3.4,22.8,81,21.2,84.7,30.3,27.7,--
Calgary Flames,20182019,82,50,25,--,7,107,0.652,45,50,0,289,223,3.52,2.72,19.3,79.7,16.7,87,32.4,28.1,52.4
Colorado Avalanche,20232024,82,50,25,--,7,107,0.652,42,48,2,302,252,3.68,3.07,24.5,79.9,22.3,82.6,33,29.8,47.9
Dallas Stars,20062007,82,50,25,--,7,107,0.652,35,41,9,217,193,2.65,2.35,18.5,84.4,17.1,85.2,28,25.4,50.1
Phoenix Coyotes,20092010,82,50,25,--,7,107,0.652,31,36,14,211,196,2.57,2.39,14.7,84.5,12.4,85.5,30.5,29.6,50
New Jersey Devils,20062007,82,49,24,--,9,107,0.652,36,39,10,206,193,2.51,2.35,17.7,85.2,14.7,86.7,28.7,28.4,49
Boston Bruins,20182019,82,49,24,--,9,107,0.652,38,47,2,257,212,3.13,2.59,25.9,79.9,19.9,82.8,32.7,29.5,50.7
Chicago Blackhawks,19701971,78,49,20,9,--,107,0.686,49,49,0,277,184,3.55,2.36,--,--,--,--,31,28.8,--
St. Louis Blues,20152016,82,49,24,--,9,107,0.652,36,44,5,219,197,2.67,2.4,21.5,85.2,19.4,86.6,30.2,29.7,51.3
Colorado Avalanche,19961997,82,49,24,9,--,107,0.652,46,49,0,277,205,3.38,2.5,20.6,87.6,17.6,91.7,32,30.2,--
New Jersey Devils,19971998,82,48,23,11,--,107,0.652,46,48,0,225,166,2.74,2.02,18.9,86.7,16.2,88,29.3,23.7,51.4
Washington Capitals,20102011,82,48,23,--,11,107,0.652,34,43,5,219,191,2.67,2.33,17.5,85.6,15.6,88,31.3,29,51.7
New York Rangers,20222023,82,47,22,--,13,107,0.652,37,43,4,273,216,3.33,2.63,24.1,81.2,22,84.8,31.5,29.3,49.1
Montréal Canadiens,19791980,80,47,20,13,--,107,0.669,47,47,0,328,240,4.1,3,29.1,81.4,26.8,82.2,31.6,27.7,--
Chicago Blackhawks,20132014,82,46,21,--,15,107,0.652,39,40,6,261,212,3.18,2.59,19.5,81.5,17.1,85.1,33.1,27.2,52
Chicago Blackhawks,19711972,78,46,17,15,--,107,0.686,46,46,0,256,166,3.28,2.13,--,--,--,--,29.3,27.2,--
Philadelphia Flyers,20022003,82,45,20,13,4,107,0.652,39,45,0,211,166,2.57,2.02,14.3,85.2,11.9,87.6,30.9,24.6,52.2
St. Louis Blues,19801981,80,45,18,17,--,107,0.669,45,45,0,352,281,4.4,3.51,24.2,82,20.8,86.7,30.4,31.8,--
New Jersey Devils,20082009,82,51,27,--,4,106,0.646,36,45,6,238,207,2.9,2.52,18.9,79.9,17.6,83.6,32.9,29.5,51.3
Edmonton Oilers,19861987,80,50,24,6,--,106,0.663,45,50,0,372,284,4.65,3.55,22.4,80,19.8,87.6,29.5,29.6,--
Philadelphia Flyers,19821983,80,49,23,8,--,106,0.663,49,49,0,326,240,4.08,3,21.7,81.9,19.2,86.3,34.5,26.4,--
Pittsburgh Penguins,20102011,82,49,25,--,8,106,0.646,34,39,10,228,196,2.78,2.39,15.8,86.1,13.8,90.1,31.5,28.7,49.2
Boston Bruins,19761977,80,49,23,8,--,106,0.663,49,49,0,312,240,3.9,3,--,--,--,--,30.1,25.3,--
Chicago Blackhawks,19901991,80,49,23,8,--,106,0.663,46,49,0,284,211,3.55,2.64,22.1,83.8,19.6,88.5,32.1,27.7,--
Nashville Predators,20052006,82,49,25,--,8,106,0.646,40,43,6,253,224,3.09,2.73,18.4,84.6,15.8,86.9,29,32.5,53.8
Minnesota Wild,20162017,82,49,25,--,8,106,0.646,42,46,3,263,206,3.21,2.51,21,83,19.6,85.3,30.8,30.1,52
Dallas Stars,20002001,82,48,24,8,2,106,0.646,42,48,0,241,187,2.94,2.28,19.6,86.2,17.7,88.2,25.6,24.9,51.2
New Jersey Devils,19931994,84,47,25,12,--,106,0.631,46,47,0,306,220,3.64,2.62,18.3,81.1,15.9,83.8,31.6,29,--
New York Islanders,19761977,80,47,21,12,--,106,0.663,47,47,0,288,193,3.6,2.41,--,--,--,--,29.5,28.5,--
Philadelphia Flyers,20102011,82,47,23,--,12,106,0.646,41,44,3,256,216,3.12,2.63,16.6,82.8,14.9,86.9,31.8,30.1,50.3
Chicago Blackhawks,19921993,84,47,25,12,--,106,0.631,46,47,0,279,230,3.32,2.74,18.4,83.5,16.5,86.3,32.2,27.3,--
Edmonton Oilers,19821983,80,47,21,12,--,106,0.663,47,47,0,424,315,5.3,3.94,29.3,77.5,27.2,83.1,33.3,32.4,--
Tampa Bay Lightning,20032004,82,46,22,8,6,106,0.646,42,46,0,245,192,2.99,2.34,16.2,84.9,15,90.3,30,25.4,50
New York Rangers,19911992,80,50,25,5,--,105,0.656,45,50,0,321,246,4.01,3.08,20.9,84.8,17.8,88.4,32.9,31.8,--
Toronto Maple Leafs,20172018,82,49,26,--,7,105,0.64,37,42,7,270,230,3.29,2.8,25,81.4,22.8,83.1,32.2,33.9,51.8
Washington Capitals,20172018,82,49,26,--,7,105,0.64,38,46,3,256,238,3.12,2.9,22.5,80.3,19.3,81.8,29,31.9,50.4
Vancouver Canucks,20062007,82,49,26,--,7,105,0.64,32,44,5,217,197,2.65,2.4,17.2,86.9,15.2,88.1,29.3,29.2,49.2
Ottawa Senators,20062007,82,48,25,--,9,105,0.64,44,46,2,286,216,3.49,2.63,17.9,84.5,14.9,88.8,32.3,30.2,50.3
Calgary Flames,19871988,80,48,23,9,--,105,0.656,46,48,0,397,305,4.96,3.81,28.5,80.4,25.6,85.2,33.3,29.7,--
San Jose Sharks,20102011,82,48,25,--,9,105,0.64,38,43,5,243,208,2.96,2.54,23.5,79.6,21.1,81.8,34.5,28.9,53.7
New Jersey Devils,19981999,82,47,24,11,--,105,0.64,44,47,0,248,196,3.02,2.39,19.7,85.5,18.1,87.7,31.3,24.7,50
Pittsburgh Penguins,20062007,82,47,24,--,11,105,0.64,31,37,10,267,240,3.26,2.93,20.3,82.1,17.5,85.4,28.9,30.9,47
St. Louis Blues,19901991,80,47,22,11,--,105,0.656,44,47,0,310,250,3.88,3.13,20.1,83.8,14.9,86.7,31.9,29.3,--
Boston Bruins,19791980,80,46,21,13,--,105,0.656,46,46,0,310,234,3.88,2.93,24.6,82.9,23,85.5,27.9,24.1,--
Buffalo Sabres,19751976,80,46,21,13,--,105,0.656,46,46,0,339,240,4.24,3,--,--,--,--,34,26.3,--
Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,40,43,3,220,197,2.68,2.4,18.7,84.7,15.9,87.9,29.6,29.6,54.7
Philadelphia Flyers,19771978,80,45,20,15,--,105,0.656,45,45,0,296,200,3.7,2.5,23.6,80.6,20.8,85.9,32.9,25.5,--
Philadelphia Flyers,19992000,82,45,22,12,3,105,0.64,39,45,0,237,179,2.89,2.18,20.3,86.7,18.2,88.9,30.4,23.6,51.7
Buffalo Sabres,19771978,80,44,19,17,--,105,0.656,44,44,0,288,215,3.6,2.69,22.2,85.8,20.9,89,31,27.9,--
Colorado Avalanche,20022003,82,42,19,13,8,105,0.64,35,42,0,251,194,3.06,2.37,18.7,82.5,17.1,83.8,29.1,28.3,47.9
Los Angeles Kings,19741975,80,42,17,21,--,105,0.656,42,42,0,269,185,3.36,2.31,--,--,--,--,29.3,29.8,--
Chicago Blackhawks,19731974,78,41,14,23,--,105,0.673,41,41,0,272,164,3.49,2.1,--,--,--,--,27.4,28.8,--
New York Islanders,19831984,80,50,26,4,--,104,0.65,47,50,0,357,269,4.46,3.36,22.5,81.5,19.3,86.6,30.3,33.4,--
Boston Bruins,19831984,80,49,25,6,--,104,0.65,48,49,0,336,261,4.2,3.26,24,83.1,21.9,86.1,30,26.2,--
Edmonton Oilers,20232024,82,49,27,--,6,104,0.634,39,47,2,292,236,3.56,2.88,26.3,79.5,24.3,82.2,33.8,28.1,53.2
Edmonton Oilers,20212022,82,49,27,--,6,104,0.634,38,44,5,285,251,3.48,3.06,26,79.4,23.4,83.7,34,32.3,51.3
Pittsburgh Penguins,20152016,82,48,26,--,8,104,0.634,38,44,4,241,199,2.94,2.43,18.4,84.4,16.5,88.7,33.2,29.7,50.2
Buffalo Sabres,19761977,80,48,24,8,--,104,0.65,48,48,0,301,220,3.76,2.75,--,--,--,--,31.6,25.8,--
Washington Capitals,20182019,82,48,26,--,8,104,0.634,39,44,4,274,248,3.34,3.02,20.8,78.9,18.6,80.8,30.4,31.5,45.7
Nashville Predators,20112012,82,48,26,--,8,104,0.634,40,43,5,232,205,2.83,2.5,21.6,83.6,20,85.7,27.6,30.8,49
Dallas Stars,19961997,82,48,26,8,--,104,0.634,44,48,0,252,198,3.07,2.41,14.7,83.4,11.8,87,29.7,25.3,--
Minnesota Wild,20062007,82,48,26,--,8,104,0.634,31,38,10,225,184,2.74,2.24,19,86,16.8,88.6,29.6,28.8,47.6
Montréal Canadiens,20072008,82,47,25,--,10,104,0.634,37,42,5,257,216,3.13,2.63,24.1,82.5,23.3,84.8,29.1,31.6,49
Chicago Blackhawks,19821983,80,47,23,10,--,104,0.65,47,47,0,338,268,4.23,3.35,27.1,76.4,25.2,77.4,31.8,31.1,--
